disease	dataset	modality	compartment	gene	metric	n_case	n_control	delta	hedges_g	p	fdr	support_level	support_score
rheumatoid arthritis	ra_blood_myeloid	single_cell_or_single_nucleus_h5ad	blood myeloid/APC	RFX5	donor_mean_z_score	18	18	-0.0038717316914651	-0.0880675909826428	0.7888010529759445	0.8986982737495077	null_or_negative	0.0
type 1 diabetes mellitus	t1d_ductal_cell	single_cell_or_single_nucleus_h5ad	pancreatic ductal cell	RFX5	donor_mean_z_score	5	19	0.2342836410548934	1.4204302764649483	0.0071201229154453	0.2115464453984163	trend	1.0
type 1 diabetes mellitus	t1d_acinar_cell	single_cell_or_single_nucleus_h5ad	pancreatic acinar cell	RFX5	donor_mean_z_score	5	18	0.0785979262927781	1.0511822210930952	0.2042337723659805	0.5548997911703838	positive_null	0.25
type 1 diabetes mellitus	t1d_beta_cell	single_cell_or_single_nucleus_h5ad	pancreatic beta cell	RFX5	donor_mean_z_score	3	19	-0.0595676646744049	-0.5309636130343133	0.2413332533202839	0.5773954471961933	null_or_negative	0.0
ulcerative colitis	ibd_uc_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	RFX5	donor_mean_z_score	6	6	0.0873803643699349	0.513986731812865	0.3749936659200971	0.6713173319968172	positive_null	0.25
ulcerative colitis	ibd_uc_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	RFX5	donor_mean_z_score	6	6	-0.0645069330348597	-0.5602338766260024	0.3223386175624118	0.6507782815140176	null_or_negative	0.0
Crohn disease	ibd_crohn_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	SLC2A1	donor_mean_z_score	6	6	0.1171646474049861	1.5258240386155604	0.0189693292032795	0.217378002335436	trend	1.0
Crohn disease	ibd_crohn_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	SLC2A1	donor_mean_z_score	6	6	0.0081110834872921	0.0550349291439697	0.9199840494523464	0.9628614744881466	positive_null	0.25
MS	GSE111972	sorted_bulk_microglia	white matter microglia	SLC2A1	log2_expression	10	11	-0.5389439626665169	-0.4066851692009499	0.355394038224428	0.5392185407543045	null_or_negative	0.0
Sjogren syndrome	sjogren_gland_epithelial	single_cell_or_single_nucleus_h5ad	salivary gland epithelial	SLC2A1	donor_mean_z_score	11	14	0.0106789175054753	0.0661337915732745	0.8652607728150873	0.9386142762011374	positive_null	0.25
Sjogren syndrome	sjogren_gland_apc	single_cell_or_single_nucleus_h5ad	salivary gland APC	SLC2A1	donor_mean_z_score	9	13	-0.0276143893865321	-0.1414392325478617	0.701627582803614	0.8551311208276964	null_or_negative	0.0
psoriasis	psoriasis_keratinocyte	single_cell_or_single_nucleus_h5ad	skin keratinocyte	SLC2A1	donor_mean_z_score	3	3	0.5183813165055494	1.2912363030721306	0.1727471551250893	0.5173637795185537	positive_null	0.25
psoriasis	psoriasis_skin_apc	single_cell_or_single_nucleus_h5ad	skin APC	SLC2A1	donor_mean_z_score	3	3	0.0620658435175585	0.2600038192849827	0.719169285804756	0.8717930821791461	positive_null	0.25
rheumatoid arthritis	ra_blood_myeloid	single_cell_or_single_nucleus_h5ad	blood myeloid/APC	SLC2A1	donor_mean_z_score	18	18	0.0088724096125951	0.154943891852919	0.6375503699695083	0.8185200336619565	positive_null	0.25
type 1 diabetes mellitus	t1d_acinar_cell	single_cell_or_single_nucleus_h5ad	pancreatic acinar cell	SLC2A1	donor_mean_z_score	5	18	0.0391826522224008	0.3753555282515781	0.4938211479107758	0.7349499982240089	positive_null	0.25
type 1 diabetes mellitus	t1d_ductal_cell	single_cell_or_single_nucleus_h5ad	pancreatic ductal cell	SLC2A1	donor_mean_z_score	5	19	0.0526723072452121	0.2226186455620369	0.6601724524982334	0.8292524459469693	positive_null	0.25
type 1 diabetes mellitus	t1d_beta_cell	single_cell_or_single_nucleus_h5ad	pancreatic beta cell	SLC2A1	donor_mean_z_score	3	19	-0.1188563643216351	-0.7180339678655336	0.0268819088735364	0.2462049184514662	negative_trend	-1.0
ulcerative colitis	ibd_uc_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	SLC2A1	donor_mean_z_score	6	6	0.3136205621686806	1.319753518333652	0.0529357500104539	0.3136933333952825	trend	1.0
ulcerative colitis	ibd_uc_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	SLC2A1	donor_mean_z_score	6	6	0.029837099668713	0.1633524051010264	0.7656365193552268	0.8909224952497184	positive_null	0.25
Crohn disease	ibd_crohn_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	SPP1	donor_mean_z_score	6	6	0.0018776509278664	0.8435228514632208	0.1743198044976498	0.5201150343985823	positive_null	0.25
Crohn disease	ibd_crohn_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	SPP1	donor_mean_z_score	6	6	0.0790445253640107	0.663408936914485	0.2683631890634023	0.6072696506124344	positive_null	0.25
MS	GSE111972	sorted_bulk_microglia	white matter microglia	SPP1	log2_expression	10	11	0.0019111874426158	0.00274370793029	0.994792495277153	0.9989163197567034	positive_null	0.25
Sjogren syndrome	sjogren_gland_epithelial	single_cell_or_single_nucleus_h5ad	salivary gland epithelial	SPP1	donor_mean_z_score	11	14	-0.028771300664701	-0.4085257582474726	0.2611791972669285	0.5969810223244082	null_or_negative	0.0
Sjogren syndrome	sjogren_gland_apc	single_cell_or_single_nucleus_h5ad	salivary gland APC	SPP1	donor_mean_z_score	9	13	-0.1822546701644045	-0.8337382088178361	0.0382582752340077	0.2720553892923929	negative_trend	-1.0
psoriasis	psoriasis_keratinocyte	single_cell_or_single_nucleus_h5ad	skin keratinocyte	SPP1	donor_mean_z_score	3	3	0.0707674648426214	0.5144840064348936	0.5082262613953663	0.7405238040318683	positive_null	0.25
psoriasis	psoriasis_skin_apc	single_cell_or_single_nucleus_h5ad	skin APC	SPP1	donor_mean_z_score	3	3	0.0582538144858165	0.3541504901086001	0.6260233252292522	0.8143392848510597	positive_null	0.25
rheumatoid arthritis	ra_blood_myeloid	single_cell_or_single_nucleus_h5ad	blood myeloid/APC	SPP1	donor_mean_z_score	18	18	0.0080395532853378	0.1487565531358615	0.6513193598862596	0.827893525972604	positive_null	0.25
type 1 diabetes mellitus	t1d_acinar_cell	single_cell_or_single_nucleus_h5ad	pancreatic acinar cell	SPP1	donor_mean_z_score	5	18	2.1270400546434924	2.51404962509523	0.0608572471006393	0.335704974199654	trend	1.0
type 1 diabetes mellitus	t1d_beta_cell	single_cell_or_single_nucleus_h5ad	pancreatic beta cell	SPP1	donor_mean_z_score	3	19	1.459586435327208	2.6587077711524856	0.210515396042681	0.5548997911703838	positive_null	0.25
type 1 diabetes mellitus	t1d_ductal_cell	single_cell_or_single_nucleus_h5ad	pancreatic ductal cell	SPP1	donor_mean_z_score	5	19	0.5090284600016889	1.0979100118910912	0.1540938921830964	0.4947628113505897	positive_null	0.25
ulcerative colitis	ibd_uc_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	SPP1	donor_mean_z_score	6	6	0.0983234250759985	0.8162159036807446	0.1862017658758942	0.5377186371401722	positive_null	0.25
ulcerative colitis	ibd_uc_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	SPP1	donor_mean_z_score	6	6	0.0			1.0	null_or_negative	0.0
Crohn disease	ibd_crohn_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	STAT1	donor_mean_z_score	6	6	0.346776832473591	1.800262743158335	0.0105466443878723	0.2115464453984163	trend	1.0
Crohn disease	ibd_crohn_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	STAT1	donor_mean_z_score	6	6	0.9109557109539126	2.099843186731275	0.0046287573138135	0.2115464453984163	trend	1.0
Graves disease	GSE248205	spatial_visium	thyroid tissue spots	STAT1	sample_mean_log1p_cpm_gene	3	2	0.278092022984535	0.8458922802614278	0.2391740048329545	0.2815372107282357	positive_null	0.25
Hashimoto thyroiditis	GSE248205	spatial_visium	thyroid tissue spots	STAT1	sample_mean_log1p_cpm_gene	3	2	0.5601149873883255	5.392283927743702	0.0034510465111063	0.015396976741859	strong	3.0
MS	GSE111972	sorted_bulk_microglia	white matter microglia	STAT1	log2_expression	10	11	0.5378996098681981	0.6835132062150272	0.1363451431707629	0.325868427526688	positive_null	0.25
Sjogren syndrome	sjogren_gland_apc	single_cell_or_single_nucleus_h5ad	salivary gland APC	STAT1	donor_mean_z_score	9	13	0.0263243127016173	0.0873594552999216	0.8337998284781177	0.9240379051532388	positive_null	0.25
Sjogren syndrome	sjogren_gland_epithelial	single_cell_or_single_nucleus_h5ad	salivary gland epithelial	STAT1	donor_mean_z_score	11	14	-0.0342147878840475	-0.144419930755656	0.6961592392244943	0.8502708265337335	null_or_negative	0.0
psoriasis	psoriasis_skin_apc	single_cell_or_single_nucleus_h5ad	skin APC	STAT1	donor_mean_z_score	3	3	1.3460527967789833	2.171963022659797	0.0752210002445776	0.3606100386256904	trend	1.0
psoriasis	psoriasis_keratinocyte	single_cell_or_single_nucleus_h5ad	skin keratinocyte	STAT1	donor_mean_z_score	3	3	1.0711477626851909	1.1895854393340428	0.2071742324237362	0.5548997911703838	positive_null	0.25
rheumatoid arthritis	ra_blood_myeloid	single_cell_or_single_nucleus_h5ad	blood myeloid/APC	STAT1	donor_mean_z_score	18	18	-0.0257245224380625	-0.1083426168197992	0.741974810801758	0.8835713155663963	null_or_negative	0.0
type 1 diabetes mellitus	t1d_acinar_cell	single_cell_or_single_nucleus_h5ad	pancreatic acinar cell	STAT1	donor_mean_z_score	5	18	0.2121395815364579	1.0430661367452865	0.2774510390027807	0.609649504135893	positive_null	0.25
type 1 diabetes mellitus	t1d_beta_cell	single_cell_or_single_nucleus_h5ad	pancreatic beta cell	STAT1	donor_mean_z_score	3	19	0.2790271832485503	1.056175397659546	0.370869569144699	0.6713173319968172	positive_null	0.25
type 1 diabetes mellitus	t1d_ductal_cell	single_cell_or_single_nucleus_h5ad	pancreatic ductal cell	STAT1	donor_mean_z_score	5	19	0.1379794806273592	0.7840421839122673	0.1252368120101462	0.4541164854758843	positive_null	0.25
ulcerative colitis	ibd_uc_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	STAT1	donor_mean_z_score	6	6	0.3725593628423821	1.4191597164885568	0.0248843539080641	0.2345914083969257	trend	1.0
ulcerative colitis	ibd_uc_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	STAT1	donor_mean_z_score	6	6	0.098449041197068	0.7230980415324774	0.205251092156996	0.5548997911703838	positive_null	0.25
Crohn disease	ibd_crohn_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	TAP1	donor_mean_z_score	6	6	0.2486829944849639	1.6599429376394772	0.0122039167069493	0.2115464453984163	trend	1.0
Crohn disease	ibd_crohn_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	TAP1	donor_mean_z_score	6	6	0.9362760603255308	2.2025062118394936	0.0073126639045013	0.2115464453984163	trend	1.0
Graves disease	GSE248205	spatial_visium	thyroid tissue spots	TAP1	sample_mean_log1p_cpm_gene	3	2	0.2355139340597323	1.0319592237291386	0.1802385620060937	0.2811133221822033	positive_null	0.25
Hashimoto thyroiditis	GSE248205	spatial_visium	thyroid tissue spots	TAP1	sample_mean_log1p_cpm_gene	3	2	0.5136424163120271	6.256777006280796	0.0033259216443658	0.015396976741859	strong	3.0
Sjogren syndrome	sjogren_gland_epithelial	single_cell_or_single_nucleus_h5ad	salivary gland epithelial	TAP1	donor_mean_z_score	11	14	0.0625552968794551	0.3448680288165687	0.3914627275307074	0.6806166418957331	positive_null	0.25
Sjogren syndrome	sjogren_gland_apc	single_cell_or_single_nucleus_h5ad	salivary gland APC	TAP1	donor_mean_z_score	9	13	-0.0367405163170662	-0.1307936783845815	0.7478325720057534	0.8855001777681446	null_or_negative	0.0
rheumatoid arthritis	ra_blood_myeloid	single_cell_or_single_nucleus_h5ad	blood myeloid/APC	TAP1	donor_mean_z_score	18	18	-0.0393278503898042	-0.3373253703130001	0.3102319571845124	0.6423033562007203	null_or_negative	0.0
type 1 diabetes mellitus	t1d_acinar_cell	single_cell_or_single_nucleus_h5ad	pancreatic acinar cell	TAP1	donor_mean_z_score	5	18	0.2680436384633504	0.8226642204039183	0.3433963615080183	0.6538120058436172	positive_null	0.25
type 1 diabetes mellitus	t1d_beta_cell	single_cell_or_single_nucleus_h5ad	pancreatic beta cell	TAP1	donor_mean_z_score	3	19	0.6930424831323581	2.391207976984867	0.2543925889957718	0.5887383080503423	positive_null	0.25
type 1 diabetes mellitus	t1d_ductal_cell	single_cell_or_single_nucleus_h5ad	pancreatic ductal cell	TAP1	donor_mean_z_score	5	19	0.3050504983602571	0.7582990596661902	0.2723008289994427	0.6072696506124344	positive_null	0.25
ulcerative colitis	ibd_uc_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	TAP1	donor_mean_z_score	6	6	0.6670140094639064	1.5076889814495331	0.0331053720509646	0.2581301461691236	trend	1.0
ulcerative colitis	ibd_uc_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	TAP1	donor_mean_z_score	6	6	0.15332560502652	0.9718018055342906	0.1024388722750841	0.4301170923491894	positive_null	0.25
Crohn disease	ibd_crohn_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	TAP2	donor_mean_z_score	6	6	0.1550185529141427	1.4043191709923342	0.0249532266059937	0.2345914083969257	trend	1.0
Crohn disease	ibd_crohn_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	TAP2	donor_mean_z_score	6	6	0.6413178861933627	1.6089386649372632	0.0268444564779687	0.2462049184514662	trend	1.0
Graves disease	GSE248205	spatial_visium	thyroid tissue spots	TAP2	sample_mean_log1p_cpm_gene	3	2	0.0783802560960232	1.102981640794203	0.1620628800010384	0.2811133221822033	positive_null	0.25
Hashimoto thyroiditis	GSE248205	spatial_visium	thyroid tissue spots	TAP2	sample_mean_log1p_cpm_gene	3	2	0.1598461714065625	12.538344444789985	0.0003158330383846	0.0027116891048613	strong	3.0
Sjogren syndrome	sjogren_gland_apc	single_cell_or_single_nucleus_h5ad	salivary gland APC	TAP2	donor_mean_z_score	9	13	0.2243742003287124	0.6562460453436695	0.1677979473767081	0.511607048163973	positive_null	0.25
Sjogren syndrome	sjogren_gland_epithelial	single_cell_or_single_nucleus_h5ad	salivary gland epithelial	TAP2	donor_mean_z_score	11	14	0.0082263221298007	0.0656826488826233	0.8619434840399209	0.9386142762011374	positive_null	0.25
rheumatoid arthritis	ra_blood_myeloid	single_cell_or_single_nucleus_h5ad	blood myeloid/APC	TAP2	donor_mean_z_score	18	18	-0.0032841113141496	-0.0506365565354151	0.8777157090674932	0.9433048762438214	null_or_negative	0.0
type 1 diabetes mellitus	t1d_acinar_cell	single_cell_or_single_nucleus_h5ad	pancreatic acinar cell	TAP2	donor_mean_z_score	5	18	0.2005396752644472	1.100870967279907	0.247562967137934	0.581432289791845	positive_null	0.25
type 1 diabetes mellitus	t1d_beta_cell	single_cell_or_single_nucleus_h5ad	pancreatic beta cell	TAP2	donor_mean_z_score	3	19	0.5006123377409518	2.026123576276069	0.3063664157569239	0.6376406701932726	positive_null	0.25
type 1 diabetes mellitus	t1d_ductal_cell	single_cell_or_single_nucleus_h5ad	pancreatic ductal cell	TAP2	donor_mean_z_score	5	19	0.0114434719688698	0.0600505938769243	0.9096734506374676	0.95943254514824	positive_null	0.25
ulcerative colitis	ibd_uc_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	TAP2	donor_mean_z_score	6	6	0.5105306715948364	2.092399437161714	0.0075652845944488	0.2115464453984163	trend	1.0
ulcerative colitis	ibd_uc_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	TAP2	donor_mean_z_score	6	6	0.0901247969985204	0.7720191121490182	0.1785273126913471	0.525745619195369	positive_null	0.25
Crohn disease	ibd_crohn_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	TNF	donor_mean_z_score	6	6	0.440631036496986	1.27381352683974	0.0520592184653557	0.3128441297448607	trend	1.0
Crohn disease	ibd_crohn_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	TNF	donor_mean_z_score	6	6	0.0146230427384227	0.4401851638054403	0.4281458936837831	0.7004686662140702	positive_null	0.25
MS	GSE111972	sorted_bulk_microglia	white matter microglia	TNF	log2_expression	10	11	0.0670686782474163	0.0670164743900601	0.8722537108638305	0.9594790819502136	positive_null	0.25
Sjogren syndrome	sjogren_gland_epithelial	single_cell_or_single_nucleus_h5ad	salivary gland epithelial	TNF	donor_mean_z_score	11	14	0.0353237233084615	0.5146706457042984	0.2573069444265318	0.5902381520895355	positive_null	0.25
Sjogren syndrome	sjogren_gland_apc	single_cell_or_single_nucleus_h5ad	salivary gland APC	TNF	donor_mean_z_score	9	13	-0.0327341317229537	-0.1440468945121526	0.7441327173285744	0.8835713155663963	null_or_negative	0.0
rheumatoid arthritis	ra_blood_myeloid	single_cell_or_single_nucleus_h5ad	blood myeloid/APC	TNF	donor_mean_z_score	18	18	-0.0401069456313511	-0.3593351959186766	0.2780476832292158	0.609649504135893	null_or_negative	0.0
type 1 diabetes mellitus	t1d_ductal_cell	single_cell_or_single_nucleus_h5ad	pancreatic ductal cell	TNF	donor_mean_z_score	5	19	0.1993860439197143	1.7936927147732864	0.0748832030588568	0.3603402252456269	trend	1.0
type 1 diabetes mellitus	t1d_acinar_cell	single_cell_or_single_nucleus_h5ad	pancreatic acinar cell	TNF	donor_mean_z_score	5	18	0.1484145235486865	1.1558648254266044	0.2461214240666464	0.5801757326064593	positive_null	0.25
type 1 diabetes mellitus	t1d_beta_cell	single_cell_or_single_nucleus_h5ad	pancreatic beta cell	TNF	donor_mean_z_score	3	19	-0.0189924104112824	-0.5529810709154621	0.0287529433131426	0.2512684831355159	negative_trend	-1.0
ulcerative colitis	ibd_uc_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	TNF	donor_mean_z_score	6	6	0.0616462373083424	0.5100239069024088	0.3796368522523399	0.6734377637853889	positive_null	0.25
ulcerative colitis	ibd_uc_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	TNF	donor_mean_z_score	6	6	0.2144077993436249	0.6201571461695006	0.2867342021558066	0.6178784154199201	positive_null	0.25
MS	GSE111972	sorted_bulk_microglia	white matter microglia	TPP1	log2_expression	10	11	0.0395764602508048	0.0845940711952298	0.8467904199312795	0.9553532942814436	positive_null	0.25
Crohn disease	ibd_crohn_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	TREM1	donor_mean_z_score	6	6	0.0028248444457629	1.203870772072387	0.0734501915436921	0.3567628069288295	trend	1.0
Crohn disease	ibd_crohn_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	TREM1	donor_mean_z_score	6	6	2.54690586757691	1.3922784656510447	0.0471398779811496	0.3001942478401568	trend	1.0
Sjogren syndrome	sjogren_gland_apc	single_cell_or_single_nucleus_h5ad	salivary gland APC	TREM1	donor_mean_z_score	9	13	-0.0478510363150826	-0.2115509885079915	0.5703487711411085	0.789861835686326	null_or_negative	0.0
Sjogren syndrome	sjogren_gland_epithelial	single_cell_or_single_nucleus_h5ad	salivary gland epithelial	TREM1	donor_mean_z_score	11	14	-0.0007466649576365	-0.3437712108505543	0.3355612778654222	0.6538120058436172	null_or_negative	0.0
psoriasis	psoriasis_keratinocyte	single_cell_or_single_nucleus_h5ad	skin keratinocyte	TREM1	donor_mean_z_score	3	3	0.0891660753828618	0.7164929636555293	0.3725542218282994	0.6713173319968172	positive_null	0.25
psoriasis	psoriasis_skin_apc	single_cell_or_single_nucleus_h5ad	skin APC	TREM1	donor_mean_z_score	3	3	0.0548124438269546	0.3334296742716264	0.6604357436389039	0.8292524459469693	positive_null	0.25
rheumatoid arthritis	ra_blood_myeloid	single_cell_or_single_nucleus_h5ad	blood myeloid/APC	TREM1	donor_mean_z_score	18	18	0.0011413599604094	0.0066612374878562	0.9838178722376668	1.0	positive_null	0.25
type 1 diabetes mellitus	t1d_acinar_cell	single_cell_or_single_nucleus_h5ad	pancreatic acinar cell	TREM1	donor_mean_z_score	5	18	0.0449562853131362	0.4173136787289173	0.6142951773888474	0.808389386477243	positive_null	0.25
type 1 diabetes mellitus	t1d_ductal_cell	single_cell_or_single_nucleus_h5ad	pancreatic ductal cell	TREM1	donor_mean_z_score	5	19	0.0501274857636629	0.5834700202463047	0.4789760974551883	0.7255495914114095	positive_null	0.25
type 1 diabetes mellitus	t1d_beta_cell	single_cell_or_single_nucleus_h5ad	pancreatic beta cell	TREM1	donor_mean_z_score	3	19	-0.0191200699587233	-0.2551098775071354	0.4518944283231603	0.7062574703951712	null_or_negative	0.0
ulcerative colitis	ibd_uc_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	TREM1	donor_mean_z_score	6	6	3.541657079892062	2.1234208794887297	0.0102716299661789	0.2115464453984163	trend	1.0
ulcerative colitis	ibd_uc_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	TREM1	donor_mean_z_score	6	6	0.0012919125247355	0.7930522064722357	0.1968957541811371	0.5506749491637378	positive_null	0.25
Crohn disease	ibd_crohn_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	TREM2	donor_mean_z_score	6	6	0.0			1.0	null_or_negative	0.0
Crohn disease	ibd_crohn_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	TREM2	donor_mean_z_score	6	6	-0.1484703884497373	-0.8817742972577545	0.1476984688569807	0.484753949069065	null_or_negative	0.0
MS	GSE111972	sorted_bulk_microglia	white matter microglia	TREM2	log2_expression	10	11	0.1899583473475061	0.2222195061215165	0.612719290366184	0.7929308463562381	positive_null	0.25
Sjogren syndrome	sjogren_gland_epithelial	single_cell_or_single_nucleus_h5ad	salivary gland epithelial	TREM2	donor_mean_z_score	11	14	-0.0039148424675606	-0.1118887198727899	0.7742598130958334	0.8920365083372338	null_or_negative	0.0
Sjogren syndrome	sjogren_gland_apc	single_cell_or_single_nucleus_h5ad	salivary gland APC	TREM2	donor_mean_z_score	9	13	-0.1777745909759278	-0.7221359437887906	0.0715461880974725	0.356338991302587	negative_trend	-1.0
psoriasis	psoriasis_keratinocyte	single_cell_or_single_nucleus_h5ad	skin keratinocyte	TREM2	donor_mean_z_score	3	3	0.2491559426634118	1.1423610073300583	0.2173659366253803	0.560181718962771	positive_null	0.25
psoriasis	psoriasis_skin_apc	single_cell_or_single_nucleus_h5ad	skin APC	TREM2	donor_mean_z_score	3	3	0.0326455304724224	0.3574508329054096	0.6140730867945906	0.808389386477243	positive_null	0.25
rheumatoid arthritis	ra_blood_myeloid	single_cell_or_single_nucleus_h5ad	blood myeloid/APC	TREM2	donor_mean_z_score	18	18	-0.0327351462633493	-0.325925925925926	0.3313327620386789	0.6538120058436172	null_or_negative	0.0
type 1 diabetes mellitus	t1d_acinar_cell	single_cell_or_single_nucleus_h5ad	pancreatic acinar cell	TREM2	donor_mean_z_score	5	18	0.0064287838017526	0.1710499974085892	0.6797439035695658	0.8382198425520658	positive_null	0.25
type 1 diabetes mellitus	t1d_beta_cell	single_cell_or_single_nucleus_h5ad	pancreatic beta cell	TREM2	donor_mean_z_score	3	19	0.3381549170064388	1.7249547665595069	0.4277314051544603	0.7004686662140702	positive_null	0.25
type 1 diabetes mellitus	t1d_ductal_cell	single_cell_or_single_nucleus_h5ad	pancreatic ductal cell	TREM2	donor_mean_z_score	5	19	0.0002135969047805	1.0126430258194568	0.3739009663000589	0.6713173319968172	positive_null	0.25
ulcerative colitis	ibd_uc_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	TREM2	donor_mean_z_score	6	6	0.0			1.0	null_or_negative	0.0
ulcerative colitis	ibd_uc_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	TREM2	donor_mean_z_score	6	6	-0.1108589888673689	-0.6483719287653765	0.2660546768497458	0.60596082983572	null_or_negative	0.0
